Name,Price,CPU,RAM,GPU,Storage,Screen Size,Screen Resolution,Panel,Screen frequency,Weight,URL
Not Found,Liên hệ để báo giá,"Intel Core i9-13900H (24MB Cache, up to 5.4 GHz, 14 lõi / 20 luồng)",32GB,NVIDIA GeForce RTX 4050 6GB GDDR6,1TB M.2 NVMe PCIe 4.0 SSD,14.5 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-zenbook-pro-14-duo-oled-ux8402vu-p1028w.html
Not Found,15.490.000đ,AMD Ryzen 5-4500U,8GB,AMD Radeon Graphics,SSD 512 GB,14 inches,1080 x 1920 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-m413ia-ek480t.html
Not Found,52.990.000đ,"AMD Ryzen™ 9 8945HS Processor 4GHz (24MB Cache, up to 5.2 GHz, 8 cores, 16 Threads)",32GB,NVIDIA® GeForce RTX™ 4050 Laptop GPU,512GB M.2 2280 PCIe® Gen4 SSD1TB M.2 2280 PCIe® Gen4 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga403uu-qs101w.html
Not Found,Liên hệ để báo giá,"Intel Core Ultra 9 275HX 2.7 GHz (36MB Cache, up to 5.4 GHz, 24 lõi, 24 luồng)",64GB,NVIDIA GeForce RTX 5090 24GB GDDR7Intel UHD Graphics,2TB PCIe 4.0 NVMe M.2 Performance SSD,18 inches,2560 x 1600 pixels (2.5K),,,,https://cellphones.com.vn/laptop-asus-rog-strix-scar-18-g835lx-sa208w.html
Not Found,14.090.000đ,Intel Core I3 8145U 2.1 GHz,,Intel UHD Graphics 620,"HDD: 1 TB, (Hỗ trợ khe cắm SSD M2 Sata)",14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-s430fa-eb069t-i3-8145u-vang.html
Not Found,41.890.000đ,AMD Ryzen 7 5800H,16GB,Geforce RTX 3060 6GB,512GB SSD NVMe M.2 PCIe Gen 3 x 4,17.3 inches,2560 x 1440 pixels (2K),,,,https://cellphones.com.vn/laptop-asus-rog-strix-g17-g713qm-2k-165hz.html
Not Found,Liên hệ để báo giá,Intel Core i3-8145U 2.1GHz up to 3.9GHz 4MB,,Intel UHD Graphics 620,512GB SSD M.2 PCIE G3X2,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-a412fa-ek223t-core-i3-8145u-ram-4gb-ssd-512gb-14inch.html
Not Found,41.990.000đ,"Intel Core i7-9750H (2.6GHz upto 4.5GHz, 6Cores, 12Threads, 12MB cache, FSB 8GT/s)",,NVIDIA GeForce RTX 2060 6GB GDDR6,512GB SSD M.2 PCIe3x4 + 1 slot HDD,17.3 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-g731-vev082t-i7-9750h.html
Not Found,Liên hệ để báo giá,Intel Core i7-8565U 1.8 GHz,,Intel UHD Graphics 620,,13.3 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-ux362fa-el206t-i7-8565u-xanh.html
Not Found,39.590.000đ,Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,16GB,Intel Iris Xe Graphics,1TB M.2 PCIe® NVMe™ 3.0 x4,13.3 inches,3840 x 2160 pixels,,,,https://cellphones.com.vn/laptop-asus-zenbook-ux371ea-hl494ts.html
Not Found,9.990.000đ,Intel Core™ i3-1115G4,4GB,Intel UHD Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-x515ea-bq2351w.html
Not Found,20.290.000đ,AMD Ryzen 5 4600H 3.0GHz up to 4.0GHz 8MB,8GB,NVIDIA GeForce GTX 1650Ti 4GB GDDR6 + AMD Radeon Graphics,"512GB SSD M.2 PCIE G3X2, 1x slot SATA3 2.5""",15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-fa506ii-al012t-amd-ryzen-5-4600h-ram-8gb-ssd-512gb-15-6inch-144hz-vga-4gb.html
Not Found,12.990.000đ,Intel Core i3-8145U 2.10 Ghz,,Intel UHD Graphics 620,,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-a412fa-ek156t-i3-8145u-xanh.html
Not Found,Liên hệ để báo giá,Intel Core i7-8565U 1.80 GHz,,,,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-ux533fd-a9099t-i7-8565u-bac.html
Not Found,23.490.000đ,"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",16GB,NVIDIA GeForce RTX 4050 6GB GDDR6 (194 AI TOPs)Intel Graphics,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-gaming-v16-v3607vu-rp290w.html
Not Found,Liên hệ để báo giá,AMD Ryzen 5-4500U 2.3GHz up to 4.0GHz 8MB,,AMD Radeon™ Graphics,512GB SSD M.2 PCIE G3X2,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-s15-m533ia.html
Not Found,10.190.000đ,"Intel Core i3-1005G1, tốc độ 1.2 GHz tối đa lên đến 3.4 GHz, bộ nhớ đệm 4MB",4GB,Intel UHD Graphics 600,256GB M.2 NVMe PCIe 3.0 SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-14-x415ja.html
Not Found,9.990.000đ,Intel Core i3-1115G4 1.7GHz up to 4.1GHz 6MB,4GB,Intel Iris UHD Graphic,"512GB SSD M.2 PCIE G3X4 (Còn trống 1 khe 2.5"" SATA)",15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-a515ea-bq1530t.html
Not Found,34.390.000đ,AMD Ryzen 7 5800HS 3.0GHz up to 4.3GHz 16MB,16GB,NVIDIA GeForce RTX 3050 4GB GDDR6,512GB SSD PCIE G3X4,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qc.html
Not Found,28.900.000đ,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,8GB,Intel Iris Xe Graphics,512GB SSD PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE),14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-expertbook-b9400cea-kc0558t.html
Not Found,27.090.000đ,Intel Core i7-11800H 2.3GHz up to 4.6GHz 24MB,8GB,NVIDIA® GeForce RTX™ 3050 4GB,512GB SSD NVMe M.2 PCIe Gen 3 x 4,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx506hc-hn001t.html
Not Found,16.590.000đ,"Intel Core i5-1135G7 upto 4.20GHz, 4 cores 8 threads, 8MB Cache",4GB,Intel Iris X Graphics,512GB SSD M.2 NVMe™ PCIe® 3.0,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-x415ea-eb265t.html
Not Found,28.990.000đ,Intel Core i5-11400H 2.7GHz up to 4.5GHz 12MB,8GB,NVIDIA® GeForce RTX™ 3060 6GB,"512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe SSD M.2 PCIE và 1 khe 2.5"" SATA)",15.6 inches,1080 x 1620 pixels (FullHD+),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hm-hn018t.html
Not Found,25.990.000đ,Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,16GB,Intel Iris Xe Graphics,512GB SSD PCIE,13.3 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-ux325ea-kg599w.html
Not Found,63.990.000đ,Intel Core Ultra 9 185H,32GB,NVIDIA GeForce RTX 4060 8GB GDDR6,1TB PCIe 4.0 NVMe M.2 SSD,16 inches,1600 x 2560 pixels,,,,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g16-gu605mv-qr135w.html
Not Found,39.990.000đ,"Intel® Core™ i7-12700H 2.3 GHz (24M Cache, up to 4.7 GHz, 6P + 8E cores)",16GB,NVIDIA® GeForce® RTX™ 3050 Ti  Intel® Iris Xe Graphics,1TB M.2 NVMe™ PCIe® 4.0 SSD,16 inches,3840 x 2400 pixel (4K),,,,https://cellphones.com.vn/laptop-asus-vivobook-pro-16x-n7600ze-l2010w.html
