Name,Price,CPU,RAM,GPU,Storage,Screen Size,Screen Resolution,Panel,Screen frequency,Weight,URL
Laptop ASUS VivoBook S433EA,15.990.000đ,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,8GB,Intel Iris Xe Graphics,512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe SSD M.2 PCIE),14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-s14-s433ea.html
Laptop ASUS  ROG Zephyrus S17 GX703HS-K4016T,94.090.000đ,"Intel® Core™ i9-11900H, tối đa 4.90 GHz, 8 nhân 16 luồng, Cache 24MB",32GB,NVIDIA® GeForce RTX™ 3080 16GB GDDR6,2TB M.2 NVMe™ PCIe® 4.0 SSD,17.3 inches,2560x1440 (Quad HD),,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-s17-gx703hs-k4016t.html
Laptop ASUS TUF Gaming A15 FA507NU-LP131W,25.490.000đ,"AMD Ryzen 5 7535HS (Up to 4.55GHz, 6 lõi / 12 luồng)",16GB,NVIDIA GeForce RTX 4050 Laptop GPU 6GB GDDR6,"1TB SSD M2 PCIe 4.0 NVMe (1 khe trống, nâng cấp tối đa 2TB)",15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nu-lp131w.html
Laptop Asus Rog Strix G15 G513IE-HN246W,21.890.000đ,"AMD Ryzen 7 4800H Mobile (8 lõi /16 luồng, 12MB, 4.2 GHz)",8GB,"NVIDIA GeForce RTX 3050 Ti, 4GB GDDR6  Card tích hợp - AMD Radeon Graphics",512GB PCIe 3.0 NVMe M.2 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513ie-hn246w.html
Laptop ASUS Gaming ROG Zephyrus G14 GA403UV-QS202W,47.990.000đ,"AMD Ryzen 9 8945HS 4GHz (24MB Cache, up to 5.2 GHz, 8 lõi, 16 luồng)",32GB,NVIDIA GeForce RTX 4060 8GB GDDR6 (233 AI TOPs)AMD Radeon Graphics,1TB PCIe 4.0 NVMe M.2 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga403uv-qs202w.html
Laptop Asus Zenbook 14 UX3402ZA-KM219W,23.690.000đ,"Intel Core™ i5-1240P 1.7 GHz (12M Cache, up to 4.4 GHz, 4P+8E cores)  Intel Evo™ Platform",16GB,Intel® Iris Xe Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-zenbook-14-ux3402za-km219w.html
Laptop Asus Zenbook UX425EA-KI839W,19.190.000đ,Intel Core i5 Tiger Lake - 1135G7 2.40 GHz,8GB,Card tích hợp - Intel Iris Xe Graphics,512 GB SSD NVMe PCIe,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-ux425ea-ki839w.html
Laptop ASUS TUF Gaming F15 FX507ZV4-LP042W,28.390.000đ,"Intel Core I7-12700H (2.3 GHz, 24M Cache, up to 4.7 GHz, 14 lõi: 6 lõi P và 8 lõi E)",16GB,NVIDIA GeForce RTX 4060 8GB GDDR6 2420MHz,512GB PCIe 4.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 2TB),15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zv4-lp042w.html
Laptop ASUS ROG Zephyrus G16 GA605WV-QR142WS,55.990.000đ,"AMD Ryzen AI 9 HX 370 2.0GHz (36MB Cache, up to 5.1GHz, 12 lõi, 24 luồng)",32GB,NVIDIA GeForce RTX 4060 8GB GDDR6 (233 AI TOPs)AMD Radeon Graphics,"1TB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, nâng cấp tối đa 2TB)",16 inches,2560 x 1600 pixels (2K),,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g16-ga605wv-qr142ws-ryzen-ai-9-hx.html
Laptop ASUS TUF Gaming A15 FA507XI-LP420W,32.490.000đ,"AMD Ryzen 9 7940HS (8 lõi / 16 luồng, 16MB L3 cache, up to 5.2 GHz max boost)",16GB,NVIDIA GeForce RTX 4070 8GB GDDR6  AMD Radeon Navi3 Graphics,512GB PCIe 4.0 NVMe M.2 SSD (2230) (1 khe SSD M.2 trống nâng cấp tối đa đến 2TB),15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507xi-lp420w.html
