Name,Price,CPU,RAM,GPU,Storage,Screen Size,Screen Resolution,Panel,Screen frequency,Weight,URL
Laptop ASUS TUF Gaming F15 FX507ZV4-LP041W,26.990.000đ,"Intel Core i7-12700H 2.3 GHz (24M Cache, up to 4.7 GHz, 14 lõi: 6 P / 8 E)",8GB,NVIDIA GeForce RTX 4060 8GB GDDR6  Intel Iris Xe Graphics,512GB PCIe 4.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 2TB),15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zv4-lp041w.html
Laptop ASUS ZenBook UX482EA-KA268T,37.290.000đ,Intel Core i7-1165G7 1.2GHz up to 4.7GHz 12MB,16GB,Intel® Iris Xe Graphics,1TB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-ux482ea-ka268t.html
Laptop ASUS VivoBook X515KA-EJ135W,7.290.000đ,"Intel Pentium Silver N6000 1.1 GHz (4M Cache, up to 3.3 GHz, 4 lõi)",4GB,Intel UHD Graphics,256GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-x515ka-ej135w.html
Laptop ASUS ZenBook UX425EA-KI818T,24.690.000đ,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,16GB,Intel Iris Xe Graphics,512GB SSD M.2 PCIE G3X2,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-ux425ea-ki818t.html
Laptop Asus Vivobook 15 R565EA UH51T,14.490.000đ,"Intel Dual Core 11th Gen i5-1135G7 (8M Cache, lên đến 4.2 GHz)",8GB,Intel Iris Xe Graphics thế hệ 11th,256GB SSD NVMe M.2 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-r565ea-uh51t.html
Laptop Gaming ASUS ROG Zephyrus G14 GA401QEC-K2064T,40.990.000đ,"AMD Ryzen™ 9 5900HX Processor 3.3 GHz (16M Cache, up to 4.6 GHz)",16GB,NVIDIA® GeForce RTX™ 3050 Ti,1TB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,2560 x 1440 pixels (2K),,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qec-k2064t.html
Laptop ASUS VivoBook D515DA-EJ845T,8.990.000đ,"AMD Ryzen 3-3250U, 2.6GHz upto 3.5GHz, 2 cores 4 threads, 4MB Cache",4GB,AMD Radeon™ Graphics,512GB SSD M.2 NVMe,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-d515da-ej845t.html
Laptop Gaming ASUS ROG Zephyrus G14 GA401QE-K2097T,39.990.000đ,"AMD Ryzen 9 5900HS 3.0GHz up to 4.6GHz 16MB, 8 nhân 16 luồng",16GB,NVIDIA® GeForce RTX™ 3050Ti 4GB,1TB SSD M.2 NVMe PCIe,14 inches,2560 x 1440 pixels (2K),,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qe-k2097t.html
Laptop Asus Vivobook 15X OLED A1503ZA-L1150W,11.490.000đ,"Intel Core i3-1220P 1.1 GHz (12M Cache, up to 4.4 GHz, 10 lõis)",8GB,Intel UHD Graphics,256GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15x-oled-a1503za-l1150w.html
Laptop Asus Vivobook 14X A1403ZA-KM067W,15.790.000đ,Intel® Core™ i5-12500H,8GB,Intel® UHD Graphics,256GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-vivobook-14x-a1403za-km067w.html
Laptop Asus Vivobook X415MA-BV451W,6.990.000đ,"Intel Celeron N4020 (1.10GHz up to 2.80GHz, 4MB Cache)",4GB,Intel UHD Graphics,SSD 256GB,14 inches,1366 x 768 pixels (HD+),,,,https://cellphones.com.vn/laptop-asus-vivobook-x415ma-bv451w.html
Laptop ASUS VivoBook X415EA,12.490.000đ,"Intel Core i3-1115G4, tối đa 4.10GHz, 2 nhân 4 luồng, 6MB bộ nhớ đệm",4GB,Intel UHD Graphics,256GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-x415ea.html
Laptop ASUS ZenBook UM5302TA-LX087W,21.990.000đ,AMD Ryzen 5 6600U Mobile (6 nhân 12 luồng),8GB,AMD Radeon Graphics,512GB M.2 NVMe™ PCIe® 4.0,13.3 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-zenbook-um5302ta-lx087w.html
Laptop ASUS TUF Gaming FA506QM-HN005T,31.590.000đ,"AMD Ryzen R7-5800H, 8 nhân 16 luồn, tốc độ 3.2GHz tối đa lên đến 4.40GHz, 16MB bộ nhớ đệm",16GB,NVIDIA GeForce RTX 3060 6GB GDDR6,1TB SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506qm.html
Laptop ASUS Gaming ROG Zephyrus G14 GA401QC-HZ032T,31.090.000đ,"AMD Ryzen 7-5800HS (2.80GHz up to 4.40GHz, 16M Cache)",16GB,NVIDIA® GeForce RTX™ 3050 4GB,512GB SSD M.2 NVMe PCIe,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qc-hz032t.html
Laptop ASUS Vivobook  A415EA-EB558T,14.990.000đ,Intel Core i3-1115G4 1.7GHz up to 4.1GHz 6MB,8GB,Intel UHD Graphics,256GB SSD M.2 PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE),14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-a415ea-eb558t.html
Laptop ASUS Zenbook S 13 OLED UX5304MA-NQ117W,40.990.000đ,"Intel Core Ultra 7 155U 1.7 GHz (12MB Cache, up to 4.8 GHz, 12 lõi, 14 luồng)",32GB,Intel Iris Xe Graphics,1TB M.2 NVMe PCIe 4.0 SSD,13.3 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-zenbook-s-13-oled-ux5304ma-nq117w.html
Laptop Asus TUF Gaming A15 FA506IHRB-HN019W,15.990.000đ,"AMD Ryzen 5 4600H (6 nhân/ 12 luồng, 11MB Cache, 4.0 GHz)",8GB,"NVIDIA GeForce GTX 1650, 4GB GDDR6",512 GB PCIe® 3.0 NVMe™ M.2 SSD + 1 khe trống để nâng cấp,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506ihrb-hn019w.html
Laptop ASUS VivoBook M513UA-EJ033T,17.990.000đ,AMD Ryzen™ 7-5700U,8GB,AMD Radeon™ Graphics,512GB SSD,15.6 inches,1080 x 1920 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-m513ua-ej033t.html
Laptop Asus Expertbook P2451FA-BV3113,14.490.000đ,"Intel® Core™ i5-10210U Processor 1.6 GHz (6M Cache, up to 4.2 GHz, 4 cores)",8GB,Intel® UHD Graphics,256 GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,1366 x 768 pixels (HD+),,,,https://cellphones.com.vn/laptop-asus-expertbook-p2451fa-bv3113.html
Laptop Asus Zenbook UX425EA-KI883W,19.390.000đ,Intel Core i5-1135G7,8GB,Intel Iris Xᵉ Graphics,512GB SSD M.2 NVMe™ PCIe® 3.0,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-ux425ea-ki883w.html
Laptop ASUS ROG Zephyrus G14 GA403WR-QS156WS,Liên hệ để báo giá,"AMD Ryzen AI 9 HX 370 2.0GHz (36MB Cache, up to 5.1GHz, 12 lõi, 24 luồng)",32GB,NVIDIA GeForce RTX 5070 Ti 12GB GDDR7AMD Radeon Graphics,"1TB PCIe 4.0 NVMe M.2 SSD (1 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga403wr-qs156ws.html
Laptop ASUS VivoBook D515DA-EJ1364W,8.490.000đ,AMD Ryzen 3 3250U,4GB,AMD Radeon Graphics,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-d515da-ej1364w.html
Laptop ASUS ZenBook UX371EA-HL725WS,34.990.000đ,"Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB, 4 nhân 8 luồng",16GB,Intel Iris Xe Graphics,1TB M.2 PCIe® NVMe™ 3.0 x4,13.3 inches,3840 x 2160 pixels,,,,https://cellphones.com.vn/laptop-asus-zenbook-ux371ea-hl725ws.html
Laptop ASUS VivoBook Pro M3500QC-L1105T,23.490.000đ,AMD Ryzen 5 5600H 3.3GHz up to 4.2GHz 16MB,8GB,NVIDIA® GeForce RTX™ 3050 4GB,512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-pro-m3500qc-l1105t.html
Laptop ASUS Gaming ROG Zephyrus G14 GA402RJ-L8030W,47.990.000đ,AMD Ryzen 7 6800HS,16GB,AMD Radeon™ RX 6700S,1TB M.2 NVMe™ PCIe® 4.0 SSD1 khe M.2 NVMe PCIe 4.0 trống,14 inches,2560 x 1600 (WQXGA),,,,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga402rj-l8030w-matrix.html
Laptop ASUS VivoBook 14 A412DA-EK346T,Liên hệ để báo giá,AMD® Ryzen™ 3 3200U,,AMD® Radeon™ Vega 3,512GB PCIe® Gen3 SSD,14 inches,1080 x 1920 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-412da-ek346t-ryzen-r3-3200u-bac.html
Laptop ASUS ZenBook UP5401ZA-KN005W,19.990.000đ,Intel Core i5-12500H,8GB,Intel Iris Xe Graphics,LPDDR5,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-zenbook-up5401za-kn005w.html
Laptop Asus Vivobook A415 EB1750W,11.590.000đ,Intel Core i3-1115G4,8GB,UHD Graphics,256GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-a415ea-eb1750w.html
Laptop Asus TUF Gaming A15 A15 FA507RR-HN835W,35.490.000đ,"Bộ xử lý di động AMD Ryzen™ 7 6800H (8-core/16-thread, 20MB cache, up to 4.7 GHz max boost)",16GB,NVIDIA® GeForce RTX™ 3070 Laptop GPU 8GB GDDR6  AMD Radeon™ Navi2 Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1080 x 1920 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507rr-hn835w.html
Laptop ASUS TUF Gaming  FA506QR-AZ003T,37.490.000đ,"AMD Ryzen 7 5800H 3.20GHz up to 4.40GHz, 8 nhân 16 luồng",16GB,NVIDIA® GeForce RTX™ 3070 8GB GDDR6,512GB PCIE SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-fa506qr-az003t.html
Laptop ASUS Vivobook X515EA-BQ1006T,13.190.000đ,"Core i3-1115G4 (up to 4.1Ghz, 6MB)",4GB,Intel® UHD Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-x515ea-bq1006t.html
Laptop ASUS TUF Gaming F15 FX507VV-LP181W,29.990.000đ,"Intel Core i7-13620H (2.4 GHz, 24M Cache, up to 4.9 GHz, 10 lõi: 6 P-cores và 4 E-cores)",32GB,NVIDIA GeForce RTX 4060 8GB GDDR6Intel Iris Xe Graphics,512GB PCIe 4.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 2TB),15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vv-lp181w.html
Laptop ASUS Zenbook 14 Flip OLED UP5401ZA-KN101W,30.990.000đ,Intel® Core™ i7-12700H Processor 2.3 GHz,16GB,Intel Iris Xᵉ Graphics,512GB SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-zenbook-14-flip-oled-up5401za-kn101w.html
Laptop ASUS VivoBook 15 A515EP-BQ195T,19.190.000đ,"Intel® Core i5-1135G 4 nhân 8 luồng, tối đa 4.2 GHz. bộ nhớ đệm 8MB",8GB,NVIDIA® GeForce® MX330 2GB GDDR5,512GB PCIe® Gen3 x2 SSD M.2,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-a515ep-i5.html
Laptop Asus Vivobook 14X A1403ZA-LY153W,11.290.000đ,"Intel Core i3-1220P 1.1 GHz (12M Cache, up to 4.4 GHz, 10 lõi)",8GB,Intel UHD Graphics,512GB M.2 NVMe PCIe 3.0 SSD,14 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-vivobook-14x-a1403za-ly153w.html
Laptop Asus Vivobook Pro 16X OLED N7601ZM-MX196W,Liên hệ để báo giá,"Intel Core i7-12700H 2.3 GHz (24M Cache, up to 4.7 GHz, 6P+8E cores)",16GB,NVIDIA GeForce RTX 3060 6GB GDDR6,1TB M.2 NVMe PCIe 4.0 SSD,16 inches,,,,,https://cellphones.com.vn/laptop-asus-vivobook-pro-16x-oled-n7601zm-mx196w.html
Laptop Asus ROG Flow X13 GV302XU-MU223W,36.990.000đ,"AMD Ryzen 9 7940HS (8 lõi / 16 luồng, 16MB L3 cache, up to 5.2 GHz max boost)",16GB,NVIDIA GeForce RTX 4050 6GB GDDR6 AMD Radeon 780M,1TB PCIe 4.0 NVMe M.2 SSD (2230),13.4 inches,2560 x 1600 (WQXGA),,,,https://cellphones.com.vn/laptop-asus-rog-flow-x13-gv302xu-mu223w.html
Laptop Asus VivoBook Flip 14 TM420UA-EC182W,17.990.000đ,Ryzen 7 5700U,8GB,AMD Radeon Graphics,512GB SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tm420ua-ec182w.html
Laptop Asus Expert Book B5302CEA KG0493W,20.990.000đ,"Intel® Core™ i5-1135G7 upto 4.20 GHz,  4 Cores 8 Threads",8GB,Intel Iris Xe Graphics,512GB SSD M.2 NVMe™ PCIe® 3.0,13.3 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-expertbook-b5302cea-kg0493w.html
Laptop ASUS VivoBook X415EA-EK675W,8.990.000đ,"Intel® Core™ i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 nhân 4 luồng)",4GB,Intel UHD Graphics,256GB M.2 NVMe PCIe 3.0  SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-x415ea-ek675w.html
Laptop Asus Zenbook UX425EA KI843W,25.390.000đ,Intel Core i7-1165G7,16GB,Intel Iris Xe Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-ux425ea-ki843w.html
Laptop Asus Rog Zenphyrus M16 GU603ZW K8021W,71.990.000đ,Intel Core i9-12900H,32GB,NVIDIA GeForce RTX 3070Ti 8GB GDDR6,1TB M.2 NVMe PCIe 4.0 SSD (2 slots),16 inches,2560 x 1600 pixel (2K),,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-m16-gu603zw-k8021w.html
Laptop ASUS Gaming F15 FX506LH-BQ046T,19.490.000đ,Intel Core i5-10300H 2.5GHz up to 4.5GHz 8MB,8GB,NVIDIA GeForce GTX 1650 4GB GDDR6,"512GB SSD M.2 PCIE G3X2, 1x slot SATA3 2.5""",15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-gaming-f15-fx506lh-bq046t.html
Laptop ASUS TUF Gaming FX706HC-HX009T,28.690.000đ,Intel Core i7 11800H,8GB,NVIDIA® GeForce RTX™ 3050 4GB,512GB SSD NVMe M.2 PCIe Gen 3 x 4,17.3 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx706hc-hx009t.html
Laptop ASUS Gaming ROG FLOW X13 GV301QH-K6054T,34.990.000đ,Ryzen 7 5800HS,16GB,Geforce GTX 1650 4GB,512GB SSD NVMe M.2 PCIe Gen 3 x 4,13 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-gaming-rog-flow-x13-gv301qh.html
Laptop Asus Expertbook B9400CEA KC0791,24.990.000đ,"Intel Core i7 Tiger Lake - 1165G7 (4 nhân, 8 luồng, 2.80 GHz, 12 MB)",16GB,Card tích hợp - Intel Iris Xe Graphics,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB), hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2TB)",14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-expertbook-b9400cea-kc0791.html
Laptop ASUS ExpertBook B1 B1402CVA-NK0104W,10.690.000đ,"Intel Core i3-1315U (1.2 GHz, 10M Cache, up to 4.5 GHz, 6 lõi)",8GB,Intel UHD Graphics,256GB M.2 2280 NVMe PCIe 4.0 SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-expertbook-b1-b1402cva-nk0104w.html
Laptop Asus Vivobook 15x Oled M1503QA-L1028W,16.790.000đ,"R5-5600H (6 nhân, 12 luồng)",8GB,AMD Radeon™ Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD1x M.2 2280 PCIe 3.0x4,15.6 inches,1080 x 1920 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15x-oled-m1503qa-l1028w.html
Laptop ASUS E210MA-GJ353T,7.790.000đ,"Intel Celeron® N4020 1.1GHz up to 2.8GHz 4MB, 2 nhân 2 luồng",4GB,Intel® UHD Graphics 600,128GB SSD,11.6 inches,1366 x 768 pixels (HD+),,,,https://cellphones.com.vn/laptop-asus-e210ma-gj353t.html
Laptop Asus ExpertBook B1 B1400CBA-EB0641W,13.490.000đ,"Intel Core i5-1235U (1.3 GHz, 12M Cache, up to 4.4 GHz, 10 lõi)",8GB,Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD1x STD 2.5” SATA HDD trống,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-expertbook-b1-b1400cba-eb0641w.html
Laptop ASUS VivoBook S533EA,17.990.000đ,"Intel® Core™ i5-1135G7, upto 4.20GHz, 4 cores 8 threads, 8MB Cache",8GB,Intel® Iris® Xe Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-s15-s533ea.html
Laptop ASUS Gaming ROG Strix G512-IHN281T,26.990.000đ,"Intel Core i7-10870H, tốc độ 2.2GHz tối đa lên đến 5.0GHz, bộ nhớ đệm 16MB",8GB,nVidia Geforce GTX 1650Ti 4GB DDR5,512G M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g512-i7-10870h.html
Laptop ASUS Gaming ROG Strix Scar G15 G533QM-HQ054T,45.900.000đ,AMD Ryzen 7 5800H,16GB,Geforce RTX 3060 6GB,512GB SSD,15.6 inches,2560x1440 (Quad HD),,,,https://cellphones.com.vn/laptop-asus-rog-strix-scar-g15-g533qm-hq054t.html
Laptop ASUS Rog Strix Scar 15 G533ZS-LN036W,50.990.000đ,12th Gen Intel® Core™ i9-12900H,32GB,NVIDIA® GeForce RTX™ 3080 Laptop GPU,2TB M.2 NVMe™ PCIe® 4.0 Performance SSD,15.6 inches,2560x1440 (Quad HD),,,,https://cellphones.com.vn/laptop-asus-rog-strix-scar-15-g533zs-ln036w.html
Laptop ASUS VivoBook A512FL-EJ251,14.790.000đ,Intel Core i5-8265U Processor (4 x 1.60 GHz) - Max Turbo Frequency: 3.90 GHz,,NVIDIA® GeForce® MX250 with 2GB GDDR5 / Integrated Intel® UHD Graphics,1TB SATA3 (5400rpm) ; Support Intel Optane,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-a512fl-hdd-1tb.html
Laptop Asus ExpertBook B1 B1500CBA-BQ0249W,13.490.000đ,"Intel Core i5-1235U (1.3 GHz, 12M Cache, up to 4.4 GHz, 10 lõi)",8GB,Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD1x STD 2.5” SATA HDD trống,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-expertbook-b1-b1500cba-bq0249w.html
Laptop Asus Zenbook 14 Flip OLED UP5401ZA-KU140W,33.490.000đ,Intel® Core™ I7-12700H,16GB,Intel Iris Xe Graphics,1TB M.2 NVMe™ PCIe® 4.0 SSD,14 inches,3840 x 2400 pixel (4K),,,,https://cellphones.com.vn/laptop-asus-zenbook-14-flip-oled-up5401za-ku140w.html
Laptop ASUS VivoBook X515EA-EJ1046T,16.590.000đ,"11th Generation Intel Core i5-1135G7 Tiger Lake 10nm (2.40GHz Up to 4.20 GHz, 4 Cores, 8 Threads, 8MB Cache)",8GB,Intel Iris Xe Graphics,512GB PCIe Nvme Gen 3*2,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-x515ea-ej1046t.html
Laptop Asus Tuf Gaming F15 FX507ZM HN123W,27.990.000đ,Intel core i7-12700H,16GB,GeForce RTX™ 3060,512GB M.2 NVMe™ PCIe® 3.0Còn trống 1 khe SSD M.2 PCIE,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zm-hn123w.html
Laptop ASUS Rog Zephyrus G15 GA503RS-LN892W,58.990.000đ,AMD Ryzen™ 9 6900HS Mobile Processor,32GB,NVIDIA® GeForce RTX™ 3080 Laptop GPU,1TB SSD,15.6 inches,2560 x 1440 pixels (2K),,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g15-ga503rs-ln892w.html
Laptop ASUS Zenbook UX425EA-KI817T,24.690.000đ,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,16GB,Intel Iris Xe Graphics,512GB SSD M.2 PCIE G3X2,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-ux425ea-ki817t.html
Laptop ASUS VivoBook X415MA-BV088T,9.390.000đ,"Intel Pentium Silver N5030, tốc độ 1.1 GHz tối đa lên đến 3.1 GHz, bộ nhớ đệm 4MB",4GB,Intel® UHD Graphics 600,256GB M.2 NVMe PCIe® 3.0 SSD,14 inches,1366 x 768 pixels (HD+),,,,https://cellphones.com.vn/laptop-asus-vivobook-x415ma-pentium-n5030.html
Laptop Asus Gaming ROG Strix G17 G713RW-LL178W,Liên hệ để báo giá,"AMD Ryzen 9 6900HX (8 lõi / 16 luồng, 20MB cache, up to 4.9 GHz max boost)",32GB,NVIDIA GeForce RTX 3070 Ti 8GB GDDR6  AMD Radeon Graphics,1TB PCIe 4.0 NVMe M.2 SSDCòn trống 1 khe SSD M.2,17.3 inches,2560 x 1440 pixels (2K),,,,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g17-g713rw-ll178w.html
Laptop Asus Expertbook B5 B5402CEA-KI0197W,14.490.000đ,"Intel Core i5-1155G7 2.5 GHz (8M Cache, up to 4.5 GHz, 4 lõi)",8GB,Intel UHD Graphics,512GB M.2 NVMe PCIe 3.0 SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-expertbook-b5-b5402cea-ki0197w.html
Laptop ASUS VivoBook D515DA-EJ711T,12.390.000đ,"AMD Ryzen 3-3250U upto 3.50GHz, 2 cores 4 threads, 4MB Cache",4GB,AMD Radeon Graphics,512GB SSD M.2 PCIE G3X4,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-d515da-ej711t.html
Laptop ASUS Vivobook Flip S 14 Flip TP3402ZA-LZ159W,17.990.000đ,Intel Core i5-12500H,8GB,Intel UHD Graphics,512GB SSD,14 inches,1920 x 1200 pixels (FullHD+),,,,https://cellphones.com.vn/laptop-asus-vivobook-flip-s-14-flip-tp3402za-lz159w.html
Laptop Asus ROG Strix SCAR 17 SE G733CX-LL6789W,102.000.000đ,I9-12950HX,32GB,RTX3080TI,2TB PCIE,17.3 inches,2560 x 1440 pixels (2K),,,,https://cellphones.com.vn/laptop-asus-rog-strix-scar-17-se-g733cx-ll6789w.html
Laptop Asus Vivobook Pro N7600ZE-L2010W,29.990.000đ,"Intel® Core™ i7-12700H 2.3 GHz (24M Cache, lên đến 4.7 GHz, 6P+8E cores)",16GB,NVIDIA® GeForce® RTX™ 3050 Ti  GPU tích hợp: Intel® Iris Xe Graphics,1TB M.2 NVMe™ PCIe® 4.0 SSD,16 inches,3840 x 2400 pixel (4K),,,,https://cellphones.com.vn/laptop-asus-proart-n7600ze-l2010w.html
Laptop ASUS VivoBook Pro M3500QC-L1085T,28.790.000đ,AMD Ryzen 7 5800HS 3.0GHz up to 4.3GHz 16MB,16GB,NVIDIA® GeForce® RTX™ 3050 4GB GDDR6,512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-pro-m3500qc-l1085t.html
Laptop Asus Gaming ROG Strix SCAR 16 G634JZ-N4029W,87.790.000đ,"Intel Core i9-13980HX 2.2 GHz (36M Cache, tối đa 5.6 GHz, 24 cores: 8 P-cores and 16 E-cores)",32GB,NVIDIA GeForce RTX 4080 12GB GDDR6,1TB PCIe 4.0 NVMe M.2 SSD1 khe SSD trống,16 inches,2560 x 1600 pixels (2K),,,,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-scar-16-g634jz-n4029w.html
Laptop ASUS ROG Zephyrus G16 GA605WI-QR090WS,77.990.000đ,"AMD Ryzen AI 9 HX 370 2.0GHz (36MB Cache, up to 5.1GHz, 12 lõi, 24 luồng) AMD Ryzen AI up to 81 TOPs",32GB,NVIDIA GeForce RTX 4070 8GB GDDR6 AMD Radeon Graphics,"1TB PCIe 4.0 NVMe M.2 SSD (2 khe cắm M.2 hỗ trợ SATA hoặc NVMe, hỗ trợ nâng cấp tối đa 2TB)",16 inches,2560 x 1600 (WQXGA),,,,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g16-gu603vu-n3898w.html
Laptop ASUS Gaming ROG Zephyrus G15 GA503QR-HQ093aT,48.490.000đ,"AMD Ryzen 9 5900HS Processor (8 x 3.00 GHz), Max Boost Clock up to 4.60 GHz",16GB,NVIDIA GeForce RTX 3070 8GB GDDR6,1TB M.2 NVMe PCIe® 3.0 SSD,15.6 inches,2560x1440 (Quad HD),,,,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g15-ga503qr-hq093t.html
